"Protein","estimate","std_error","statistic","pvalue","Padj","mean_diabetes_nonDN","mean_diabetes_DN"
"VSIG4",0.203893635947246,0.0384269455181597,5.30600684488155,1.38419070887506e-07,1.75852402231867e-05,0.139831829896907,0.341437089201878
"HGF",0.169480654337531,0.0320618677929902,5.28605056423398,1.53425153748545e-07,1.86795124688853e-05,0.247403997461929,0.405297695852535
"CALB2",0.147238351389501,0.0280918240640947,5.24132398998227,1.95679321389825e-07,2.28709990840428e-05,0.05849185282523,0.221304716981132
"TNFRSF11A",0.183214231136627,0.0350298828663986,5.23022677053739,2.06134242170581e-07,2.31663175239399e-05,0.173572842639594,0.36056935483871
"REN",0.442148973712237,0.0847358877648409,5.2179659100202,2.20291444036084e-07,2.38404296101274e-05,0.519686987179487,0.919067209302326
"FSTL3",0.166338463130654,0.03220820700409,5.16447448035624,2.91555744517478e-07,3.04259244814311e-05,0.0981095390524968,0.26360308056872
"CCL7",0.251154379121936,0.0491008858669638,5.11506818435874,3.7691932323722e-07,3.79778711206606e-05,0.186121272493573,0.440152142857143
"TREM2",0.258144296553047,0.0508314114251089,5.07844046261388,4.54662823286838e-07,4.42841589881381e-05,0.102593103448276,0.367774523809524
"PLAUR",0.128233805299977,0.0256053966899587,5.00807727576681,6.51564868344794e-07,6.14152433968868e-05,0.057510296010296,0.189016746411483
"PON1",-0.119664936251729,0.023901616233582,-5.00656253042834,6.768999420014e-07,6.18094259540028e-05,-0.0686149082568807,-0.181211388888889
"ADAMTS15",0.198048351820538,0.0399429022308113,4.9582864729285,8.38346283236414e-07,7.42317527156606e-05,0.0918383812010444,0.299641588785047
"ENPP7",0.383574988706356,0.0774619148950466,4.9517881042066,8.68010603328749e-07,7.45978524390178e-05,0.276163845144357,0.646964390243902
"FGFR2",0.105279813790189,0.0213402471263848,4.9333924376172,9.46787172465028e-07,7.90432033697946e-05,0.124766114649682,0.220532476635514
"CD79B",0.190754795142046,0.0389374950916161,4.89900017176808,1.12279746552564e-06,9.11337276184981e-05,0.0753578680203046,0.258281566820276
"IL10RB",0.136979857448867,0.0280913988466222,4.87622058968196,1.25858213239001e-06,9.93939727255028e-05,0.09932,0.229339150943396
"CRHBP",0.12256535067747,0.0254243255923567,4.82079063345213,1.65443219775121e-06,0.000127217128469185,0.11328595146871,0.230180476190476
"CSTB",0.197015737841491,0.0409121951483826,4.81557484576282,1.70096352718035e-06,0.000127441421190282,0.0674133289986996,0.265798325358852
"ADM",0.124839744315433,0.0260462674108562,4.79299940932801,1.89288605688284e-06,0.000138275326455291,0.0856364623243934,0.209747018348624
"CD302",0.142857429460527,0.0298668175895158,4.78314869109704,1.99181557538302e-06,0.000141953295396809,0.0581711488250653,0.194265887850467
"FURIN",0.15716546145318,0.0329727745932986,4.76652218054839,2.15353219969925e-06,0.000149824311607648,0.190720127388535,0.35301214953271
"CD83",0.152912066700989,0.0321397327491379,4.7577267643923,2.25071990816638e-06,0.000152944269108422,0.0576834190231362,0.21873119047619
"RARRES2",0.217421979828575,0.0457546767091669,4.75190724678455,2.31244030689705e-06,0.000153567058562573,0.144643277848912,0.376506744186047
"NECTIN2",0.125123001974438,0.0264535823242571,4.72990767151051,2.57183694364836e-06,0.0001669979455409,0.0556448717948718,0.17965488372093
"PGF",0.103563153128898,0.0219461613500696,4.71896435449155,2.70730789372645e-06,0.000168313907775929,0.100728109137056,0.184984562211982
"PRSS8",0.189727853400892,0.0401752069719565,4.72251091409006,2.66829128597036e-06,0.000168313907775929,0.279925611325611,0.441855980861244
"GDF15",0.216708714327148,0.0460484746171803,4.70609973791175,2.87834417626322e-06,0.000175219201730024,0.344434552332913,0.541805324074074
"TNFRSF10A",0.139086522510663,0.0295849736027487,4.70125558934892,2.95525780565694e-06,0.000176229863431216,0.128223677419355,0.271359761904762
"SNCG",0.30117519838847,0.0644941209076216,4.66980856782062,3.4341395028014e-06,0.000200691112543714,0.154401612903226,0.470832619047619
"APOF",-0.1346618507552,0.0289166999386793,-4.65688861594731,3.73692276326367e-06,0.000214103692436401,-0.233071024464832,-0.362390833333333
"RBFOX3",0.159150342617808,0.0342064715204846,4.65263839102788,3.81279839720891e-06,0.0002142499407047,0.136335966257669,0.277460714285714
"FCAMR",0.315240526307897,0.0680227454853781,4.63433994112542,4.15669662834548e-06,0.000229167312226896,0.412959969325153,0.741761538461538
"STC2",0.100368058093363,0.0217365574887409,4.61747717619739,4.39828609270972e-06,0.00023799614746107,0.0476795103092783,0.139115962441315
"AMBP",0.0828412173351284,0.0179589470935722,4.61281036708319,4.48949108178401e-06,0.000238514417108598,0.0523,0.133841972477064
"PRND",0.207993943350785,0.045093884789618,4.61246451311889,4.6069640911755e-06,0.000240384804900264,-0.0145030721966206,0.192117486338798
"BTN3A2",0.14630529371901,0.0320786365939717,4.56083266788538,5.73716981176588e-06,0.000287130287212451,0.0211704370179949,0.166527857142857
"CCL16",0.206593372739968,0.0453121455911282,4.55933767966215,5.76320357986943e-06,0.000287130287212451,0.154026103404792,0.336783796296296
"CPM",0.161573815910981,0.0354452350327425,4.55840723758009,5.79763413604882e-06,0.000287130287212451,0.264419693094629,0.416730516431925
"AHNAK",0.134309158004406,0.0297611952176495,4.51289529947224,7.33826386235249e-06,0.000357373450096566,0.053611796875,0.187938700564972
"CD5",0.137247919403638,0.0305443255454655,4.49340153867018,7.83003747362898e-06,0.000375071631113834,0.0749431673052363,0.223102752293578
"EPHA2",0.129812866032437,0.0290223823796946,4.47285354917177,8.65222553479633e-06,0.000401298460518649,0.0467018048128342,0.171358780487805
"HSPG2",0.114236642409414,0.0255328327866624,4.47410764657056,8.57199705594537e-06,0.000401298460518649,0.0615169480519481,0.168969859813084
"TIMP1",0.114540133650347,0.0257320955316386,4.45125557339532,9.52726301795867e-06,0.000434979102163676,0.103780683311432,0.212840375586854
"CANT1",0.0801258353597513,0.0181030062927269,4.42610658495671,1.0661221861379e-05,0.000451479569260135,0.0289160025706941,0.109666744186047
"CD22",0.166838834433611,0.0376396958586715,4.43252344705581,1.03417429633165e-05,0.000451479569260135,0.098993845177665,0.279854147465438
"IGFBP4",0.188817240973468,0.0426237992731755,4.42985478050279,1.05002986374635e-05,0.000451479569260135,0.104314015645372,0.290746172248804
"LGALS4",0.236539787340525,0.0534177876416174,4.42810902105272,1.05646567574215e-05,0.000451479569260135,0.367566283524904,0.598666190476191
"STC1",0.176834297043871,0.0399513945651753,4.42623590411568,1.0646066960419e-05,0.000451479569260135,0.218371564885496,0.37992511627907
"CTSL",0.0891749671675223,0.0202846582548113,4.39617794134495,1.22065203356068e-05,0.000509535034580616,0.0445087179487179,0.128988604651163
"PON3",-0.127404868178531,0.0290255323293425,-4.3894067723862,1.25827488839485e-05,0.000517842144209822,-0.275116114649682,-0.390265330188679
"CD27",0.159646574399076,0.0365624067565417,4.36641317028488,1.39516410258978e-05,0.000558447877776347,0.0561729936305733,0.209534345794393
"FCER2",0.196411598961879,0.044972723651382,4.36734942905429,1.39027964715934e-05,0.000558447877776347,0.0728204107830552,0.271087558685446
"CD300E",0.164922222124248,0.0379343676887701,4.34756744800234,1.51869748048934e-05,0.000591684538398646,0.102852506426735,0.277079493087558
"CFH",0.0981527522877304,0.0225395896401137,4.35468231032246,1.50940173594447e-05,0.000591684538398646,0.104601141924959,0.208106285714286
"ANGPT2",0.146027931184,0.0336453192755931,4.34021535025026,1.5685146856845e-05,0.000595099970224977,0.150844699872286,0.304897247706422
