"Protein","In_Significant"
"ACADM",FALSE
"AGR3",FALSE
"AMY2A",FALSE
"AMY2B",FALSE
"ART3",FALSE
"ATOX1",FALSE
"CA12",TRUE
"CASP3",FALSE
"CCL26",FALSE
"CD14",TRUE
"CD6",FALSE
"CD72",TRUE
"CDH6",FALSE
"CDHR2",TRUE
"CLSPN",FALSE
"CPQ",FALSE
"CREG1",FALSE
"CRLF1",TRUE
"CRYZL1",FALSE
"CTF1",FALSE
"CTSH",FALSE
"DCUN1D1",FALSE
"DDC",FALSE
"DLK1",FALSE
"EDAR",FALSE
"EDIL3",FALSE
"ENG",FALSE
"ENPP7",TRUE
"FGFBP1",TRUE
"GHR",TRUE
"GOLM2",TRUE
"GPA33",FALSE
"GPC1",FALSE
"HADH",FALSE
"HAVCR2",TRUE
"IDI2",FALSE
"IDUA",FALSE
"INHBB",FALSE
"INHBC",TRUE
"IPCEF1",FALSE
"LEFTY2",FALSE
"LRRC25",TRUE
"LRRN1",FALSE
"MGMT",FALSE
"NECTIN4",TRUE
"NEFL",FALSE
"NPC2",TRUE
"OBP2B",FALSE
"PAEP",FALSE
"PCSK9",FALSE
"PLXNA4",FALSE
"PPP1R12A",FALSE
"PSAP",FALSE
"PVR",FALSE
"RET",FALSE
"RNASET2",TRUE
"RSPO3",FALSE
"SDC1",TRUE
"SHBG",TRUE
"SMOC2",FALSE
"SPINT2",FALSE
"SUMF1",FALSE
"TBCA",FALSE
"TG",FALSE
"TGFA",TRUE
"TNFRSF19",FALSE
"TNFSF14",FALSE
"ULBP2",TRUE
"VNN2",TRUE
"YWHAQ",FALSE
